"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_address_country","field_address_administrative_area","field_address_sub_administrative_area","field_address_locality","field_address_dependent_locality","field_address_postal_code","field_address_thoroughfare","field_address_premise","field_address_sub_premise","field_address_organisation_name","field_address_name_line","field_address_first_name","field_address_last_name","field_address_data"
"node","listing_lodging","0","36","36","und","0","US","NC",NULL,"Asheville",,"28801","296 Montford Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","36","4586271","und","0","US","NC",NULL,"Asheville",,"28801","296 Montford Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","37","37","und","0","US","NC",NULL,"Asheville",,"28804","100 Reynolds Heights",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","38","38","und","0","US","NC",NULL,"Waynesville",,"28786","40 Old Hickory Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","38","4586276","und","0","US","NC",NULL,"Waynesville",,"28786","40 Old Hickory Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","39","39","und","0","US","NC",NULL,"Hot Springs",,"28743","289 NW Highway 25/70",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","39","4586281","und","0","US","NC",NULL,"Hot Springs",,"28743","289 NW Highway 25/70",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","41","41","und","0","US","NC",NULL,"Asheville",,"28801","176 East Chestnut Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","41","4586291","und","0","US","NC",NULL,"Asheville",,"28801","176 East Chestnut Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","43","43","und","0","US","NC",NULL,"Asheville",,"28801","288 MONTFORD AVENUE",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","43","4586301","und","0","US","NC",NULL,"Asheville",,"28801","288 Montford Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","44","44","und","0","US","NC",NULL,"Arden",,"28704","10 Parkway Crescent",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","44","4586306","und","0","US","NC",NULL,"Arden",,"28704","10 Parkway Crescent",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","45","45","und","0","US","NC",NULL,"Asheville",,"28803","4 Roberts Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","45","4586311","und","0","US","NC",NULL,"Asheville",,"28803","4 Roberts Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","46","46","und","0","US","NC",NULL,"Asheville",,"28801","151 Haywood St",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","47","47","und","0","US","NC",NULL,"Asheville",,"28803","One Lodge Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","47","4586316","und","0","US","NC",NULL,"Asheville",,"28803","One Lodge Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","47","7652541","und","0","US","NC",NULL,"Asheville",,"28803","One Lodge Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","48","48","und","0","US","NC",NULL,"Waynesville",,"28785","2300 Swag Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","48","4586321","und","0","US","NC",NULL,"Waynesville",,"28785","2300 Swag Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","49","49","und","0","US","NC",NULL,"Asheville",,"28801","One Battery Park Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","51","51","und","0","US","NC",NULL,"Asheville",,"28803","290 Macon Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","51","4586326","und","0","US","NC",NULL,"Asheville",,"28803","290 Macon Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","53","53","und","0","US","NC",NULL,"Asheville",,"28803","700 Biltmore Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","54","54","und","0","US","NC",NULL,"Flat Rock",,"28731","86 Lily Pad Lane",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","54","4586336","und","0","US","NC",NULL,"Flat Rock",,"28731","86 Lily Pad Lane",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","55","55","und","0","US","NC",NULL,"Asheville",,"28803","115 Hendersonville Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","56","56","und","0","US","NC",NULL,"Asheville",,"28805","88 Tunnel Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","56","4586341","und","0","US","NC",NULL,"Asheville",,"28805","88 Tunnel Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","57","57","und","0","US","NC",NULL,"Asheville",,"28805","204 Tunnel Road,",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","57","4586346","und","0","US","NC",NULL,"Asheville",,"28805","204 Tunnel Road,",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","58","58","und","0","US","NC",NULL,"Asheville",,"28806","One Rocky Ridge Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","58","4586351","und","0","US","NC",NULL,"Asheville",,"28806","835 Brevard Road",,NULL,NULL,NULL,NULL,NULL,NULL
