"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_contributor_nid"
"node","text","0","762","766","und","0","12"
"node","text","0","765","769","und","0","12"
"node","text","0","770","774","und","0","12"
"node","text","0","771","775","und","0","12"
"node","text","0","773","777","und","0","12"
"node","text","0","774","778","und","0","12"
"node","text","0","781","785","und","0","764"
"node","text","0","784","788","und","0","764"
"node","text","0","785","789","und","0","797"
"node","text","0","789","793","und","0","357"
"node","text","0","793","797","und","0","797"
"node","text","0","794","798","und","0","797"
"node","text","0","795","799","und","0","797"
"node","text","0","796","800","und","0","797"
"node","text","0","798","802","und","0","797"
"node","text","0","799","803","und","0","797"
"node","text","0","800","804","und","0","637"
"node","text","0","805","809","und","0","627"
"node","text","0","811","815","und","0","691"
"node","text","0","812","816","und","0","12"
"node","text","0","813","817","und","0","12"
"node","text","0","816","820","und","0","12"
"node","text","0","821","825","und","0","637"
"node","text","0","823","827","und","0","822"
"node","text","0","834","838","und","0","12"
"node","text","0","839","843","und","0","822"
"node","text","0","841","845","und","0","357"
"node","text","0","852","856","und","0","104"
"node","text","0","856","860","und","0","12"
"node","text","0","864","868","und","0","89"
"node","text","0","867","871","und","0","797"
"node","text","0","868","872","und","0","637"
"node","text","0","877","881","und","0","83"
"node","text","0","878","882","und","0","797"
"node","text","0","879","883","und","0","12"
"node","text","0","890","894","und","0","12"
"node","text","0","892","896","und","0","12"
"node","text","0","899","903","und","0","12"
"node","text","0","904","908","und","0","12"
"node","text","0","908","912","und","0","83"
"node","text","0","912","916","und","0","12"
"node","text","0","914","918","und","0","12"
"node","text","0","915","919","und","0","12"
"node","text","0","918","922","und","0","12"
"node","text","0","919","923","und","0","12"
"node","text","0","920","924","und","0","12"
"node","text","0","923","927","und","0","12"
"node","text","0","926","930","und","0","12"
"node","text","0","933","937","und","0","12"
"node","text","0","938","942","und","0","12"
"node","text","0","941","945","und","0","12"
"node","text","0","942","946","und","0","12"
"node","text","0","945","949","und","0","12"
"node","text","0","946","950","und","0","12"
"node","text","0","950","954","und","0","12"
"node","text","0","952","956","und","0","12"
"node","text","0","959","963","und","0","12"
"node","text","0","968","972","und","0","12"
